y,tratamento,rato,rato.trt
33,T1,1,11
39,T1,2,21
29,T1,3,31
41,T1,4,41
34,T1,5,51
26,T1,6,61
40,T1,7,71
49,T1,8,81
29,T1,9,91
36,T1,10,101
35,T1,1,11
38,T1,2,21
31,T1,3,31
41,T1,4,41
36,T1,5,51
23,T1,6,61
37,T1,7,71
46,T1,8,81
32,T1,9,91
38,T1,10,101
37,T2,1,12
31,T2,2,22
43,T2,3,32
36,T2,4,42
30,T2,5,52
38,T2,6,62
43,T2,7,72
32,T2,8,82
44,T2,9,92
30,T2,10,102
33,T2,1,12
30,T2,2,22
45,T2,3,32
38,T2,4,42
39,T2,5,52
39,T2,6,62
46,T2,7,72
35,T2,8,82
46,T2,9,92
29,T2,10,102
40,C,1,13
52,C,2,23
45,C,3,33
51,C,4,43
44,C,5,53
50,C,6,63
43,C,7,73
56,C,8,83
51,C,9,93
41,C,10,103
42,C,1,13
50,C,2,23
44,C,3,33
53,C,4,43
41,C,5,53
52,C,6,63
43,C,7,73
53,C,8,83
50,C,9,93
43,C,10,103
