Animal;Raca_touro;Peso;Data;Nascim;Sexo;PN;Touro;Idade;rc;an;dt;ps
342444;Brahman;154;2004-07-08;2004-02-09;M;36.5;PHOENIX;150;1;1;1;154
342444;Brahman;300;2005-01-10;2004-02-09;M;36.5;PHOENIX;336;1;1;2;300
342444;Brahman;428;2005-10-24;2004-02-09;M;36.5;PHOENIX;623;1;1;3;428
342444;Brahman;546;2007-02-02;2004-02-09;M;36.5;PHOENIX;1089;1;1;4;546
342444;Brahman;648;2007-05-17;2004-02-09;M;36.5;PHOENIX;1193;1;1;5;648
342447;Brahman;140;2004-07-08;2004-02-19;M;47;PHOENIX;140;1;2;1;140
342447;Brahman;280;2005-01-10;2004-02-19;M;47;PHOENIX;326;1;2;2;280
342447;Brahman;329;2005-10-24;2004-02-19;M;47;PHOENIX;613;1;2;3;329
342447;Brahman;528;2007-02-02;2004-02-19;M;47;PHOENIX;1079;1;2;4;528
342447;Brahman;616;2007-05-17;2004-02-19;M;47;PHOENIX;1183;1;2;5;616
342467;Brahman;159;2004-07-08;2004-02-01;M;37.5;PHOENIX;158;1;3;1;159
342467;Brahman;270;2005-01-10;2004-02-01;M;37.5;PHOENIX;344;1;3;2;270
342467;Brahman;320;2005-10-24;2004-02-01;M;37.5;PHOENIX;631;1;3;3;320
342467;Brahman;482;2007-02-02;2004-02-01;M;37.5;PHOENIX;1097;1;3;4;482
342467;Brahman;574;2007-05-17;2004-02-01;M;37.5;PHOENIX;1201;1;3;5;574
342468;Brahman;144;2004-07-08;2004-01-30;M;34;PHOENIX;160;1;4;1;144
342468;Brahman;268;2005-01-10;2004-01-30;M;34;PHOENIX;346;1;4;2;268
342468;Brahman;313;2005-10-24;2004-01-30;M;34;PHOENIX;633;1;4;3;313
342468;Brahman;483;2007-02-02;2004-01-30;M;34;PHOENIX;1099;1;4;4;483
342468;Brahman;566;2007-05-17;2004-01-30;M;34;PHOENIX;1203;1;4;5;566
342469;Brahman;138;2004-07-08;2004-02-22;M;47;PHOENIX;137;1;5;1;138
342469;Brahman;278;2005-01-10;2004-02-22;M;47;PHOENIX;323;1;5;2;278
342469;Brahman;330;2005-10-24;2004-02-22;M;47;PHOENIX;610;1;5;3;330
342469;Brahman;481;2007-02-02;2004-02-22;M;47;PHOENIX;1076;1;5;4;481
342469;Brahman;558;2007-05-17;2004-02-22;M;47;PHOENIX;1180;1;5;5;558
342476;Brahman;123;2004-07-08;2004-02-13;M;38;PHOENIX;146;1;6;1;123
342476;Brahman;270;2005-01-10;2004-02-13;M;38;PHOENIX;332;1;6;2;270
342476;Brahman;324;2005-10-24;2004-02-13;M;38;PHOENIX;619;1;6;3;324
342476;Brahman;493;2007-02-02;2004-02-13;M;38;PHOENIX;1085;1;6;4;493
342476;Brahman;578;2007-05-17;2004-02-13;M;38;PHOENIX;1189;1;6;5;578
342479;Brahman;102;2004-07-08;2004-02-19;M;38;PHOENIX;140;1;7;1;102
342479;Brahman;230;2005-01-10;2004-02-19;M;38;PHOENIX;326;1;7;2;230
342479;Brahman;299;2005-10-24;2004-02-19;M;38;PHOENIX;613;1;7;3;299
342479;Brahman;532;2007-02-02;2004-02-19;M;38;PHOENIX;1079;1;7;4;532
342479;Brahman;606;2007-05-17;2004-02-19;M;38;PHOENIX;1183;1;7;5;606
342488;Brahman;140;2004-07-08;2004-02-08;M;38;PHOENIX;151;1;8;1;140
342488;Brahman;280;2005-01-10;2004-02-08;M;38;PHOENIX;337;1;8;2;280
342488;Brahman;327;2005-10-24;2004-02-08;M;38;PHOENIX;624;1;8;3;327
342488;Brahman;500;2007-02-02;2004-02-08;M;38;PHOENIX;1090;1;8;4;500
342488;Brahman;582;2007-05-17;2004-02-08;M;38;PHOENIX;1194;1;8;5;582
342441;Nelore;116;2004-07-08;2004-02-19;M;35;GRAMADO;140;2;9;1;116
342441;Nelore;268;2005-01-10;2004-02-19;M;35;GRAMADO;326;2;9;2;268
342441;Nelore;359;2005-10-24;2004-02-19;M;35;GRAMADO;613;2;9;3;359
342441;Nelore;556;2007-02-02;2004-02-19;M;35;GRAMADO;1079;2;9;4;556
342441;Nelore;660;2007-05-17;2004-02-19;M;35;GRAMADO;1183;2;9;5;660
342442;Nelore;112;2004-07-08;2004-02-21;M;38;BARRANCO;138;2;10;1;112
342442;Nelore;260;2005-01-10;2004-02-21;M;38;BARRANCO;324;2;10;2;260
342442;Nelore;329;2005-10-24;2004-02-21;M;38;BARRANCO;611;2;10;3;329
342442;Nelore;526;2007-02-02;2004-02-21;M;38;BARRANCO;1077;2;10;4;526
342442;Nelore;638;2007-05-17;2004-02-21;M;38;BARRANCO;1181;2;10;5;638
342446;Nelore;126;2004-07-08;2004-02-16;M;41;GRAMADO;143;2;11;1;126
342446;Nelore;245;2005-01-10;2004-02-16;M;41;GRAMADO;329;2;11;2;245
342446;Nelore;356;2005-10-24;2004-02-16;M;41;GRAMADO;616;2;11;3;356
342446;Nelore;524;2007-02-02;2004-02-16;M;41;GRAMADO;1082;2;11;4;524
342446;Nelore;602;2007-05-17;2004-02-16;M;41;GRAMADO;1186;2;11;5;602
342449;Nelore;142;2004-07-08;2004-02-17;M;38.5;BARRANCO;142;2;12;1;142
342449;Nelore;260;2005-01-10;2004-02-17;M;38.5;BARRANCO;328;2;12;2;260
342449;Nelore;375;2005-10-24;2004-02-17;M;38.5;BARRANCO;615;2;12;3;375
342449;Nelore;544;2007-02-02;2004-02-17;M;38.5;BARRANCO;1081;2;12;4;544
342449;Nelore;650;2007-05-17;2004-02-17;M;38.5;BARRANCO;1185;2;12;5;650
342452;Nelore;120;2004-07-08;2004-02-01;M;37;GRAMADO;158;2;13;1;120
342452;Nelore;275;2005-01-10;2004-02-01;M;37;GRAMADO;344;2;13;2;275
342452;Nelore;382;2005-10-24;2004-02-01;M;37;GRAMADO;631;2;13;3;382
342452;Nelore;532;2007-02-02;2004-02-01;M;37;GRAMADO;1097;2;13;4;532
342452;Nelore;602;2007-05-17;2004-02-01;M;37;GRAMADO;1201;2;13;5;602
342458;Nelore;112;2004-07-08;2004-03-05;M;38;BARRANCO;125;2;14;1;112
342458;Nelore;245;2005-01-10;2004-03-05;M;38;BARRANCO;311;2;14;2;245
342458;Nelore;296;2005-10-24;2004-03-05;M;38;BARRANCO;598;2;14;3;296
342458;Nelore;475;2007-02-02;2004-03-05;M;38;BARRANCO;1064;2;14;4;475
342458;Nelore;558;2007-05-17;2004-03-05;M;38;BARRANCO;1168;2;14;5;558
342464;Nelore;152;2004-07-08;2004-01-29;M;41;GRAMADO;161;2;15;1;152
342464;Nelore;264;2005-01-10;2004-01-29;M;41;GRAMADO;347;2;15;2;264
342464;Nelore;327;2005-10-24;2004-01-29;M;41;GRAMADO;634;2;15;3;327
342464;Nelore;502;2007-02-02;2004-01-29;M;41;GRAMADO;1100;2;15;4;502
342464;Nelore;612;2007-05-17;2004-01-29;M;41;GRAMADO;1204;2;15;5;612
342470;Nelore;136;2004-07-08;2004-02-08;M;29;BARRANCO;151;2;16;1;136
342470;Nelore;250;2005-01-10;2004-02-08;M;29;BARRANCO;337;2;16;2;250
342470;Nelore;340;2005-10-24;2004-02-08;M;29;BARRANCO;624;2;16;3;340
342470;Nelore;493;2007-02-02;2004-02-08;M;29;BARRANCO;1090;2;16;4;493
342470;Nelore;598;2007-05-17;2004-02-08;M;29;BARRANCO;1194;2;16;5;598
342462;Tabapua;155;2004-07-08;2004-01-26;M;29.5;POLVO;164;3;17;1;155
342462;Tabapua;298;2005-01-10;2004-01-26;M;29.5;POLVO;350;3;17;2;298
342462;Tabapua;327;2005-10-24;2004-01-26;M;29.5;POLVO;637;3;17;3;327
342462;Tabapua;530;2007-02-02;2004-01-26;M;29.5;POLVO;1103;3;17;4;530
342462;Tabapua;608;2007-05-17;2004-01-26;M;29.5;POLVO;1207;3;17;5;608
342477;Tabapua;132;2004-07-08;2004-02-05;M;36;POLVO;154;3;18;1;132
342477;Tabapua;230;2005-01-10;2004-02-05;M;36;POLVO;340;3;18;2;230
342477;Tabapua;286;2005-10-24;2004-02-05;M;36;POLVO;627;3;18;3;286
342477;Tabapua;491;2007-02-02;2004-02-05;M;36;POLVO;1093;3;18;4;491
342477;Tabapua;572;2007-05-17;2004-02-05;M;36;POLVO;1197;3;18;5;572
342481;Tabapua;127;2004-07-08;2004-02-19;M;40;MAREANTE;140;3;19;1;127
342481;Tabapua;262;2005-01-10;2004-02-19;M;40;MAREANTE;326;3;19;2;262
342481;Tabapua;298;2005-10-24;2004-02-19;M;40;MAREANTE;613;3;19;3;298
342481;Tabapua;481;2007-02-02;2004-02-19;M;40;MAREANTE;1079;3;19;4;481
